specimen,code,nasal_l,nasal_r,interparietal,condyle_l,condyle_r,palatine_l,palatine_r,basioccipital_ll,basioccipital_lr
Stenella.att_1966.11.18.5,Staa1,,,39,,,,,,
Stenella.att_1990.91,Staj1,,,,,,,,,
Stenella.att_1990.92,Stan1,,,,,,,,,
Stenella.att_1997.536,Staf1,,,,,,,,,
Stenella.att_USNM504008,Staf5,,,,,,,,,
Stenella.att_USNM504020,Staf4,,,,,,,,,
Stenella.att_USNM504041,Staf2,,,,,,,,34,37
Stenella.att_USNM504048,Staf6,,,,,,,,,
Stenella.att_USNM504052,Staf3,,,,,,,,,
Stenella.cor_1965.1.6.2,Stcj1,,,39,,,,,,
Stenella.lon_1990.105,Stlj1,,,,,,,,,
Stenella.lon_1990.115,Stln1,,,,,,,,,
Stenella.lon_1990.122,Stlj2,,,,,,,,,
Stenella.lon_1992.107,Stln2,,,,,,,,,
Stenella.lon_USNM395270,Stla1,,,39,,,,,,
Tursiops.adu_1866.2.5.3,Tadj3,,,,,,,,,
Tursiops.adu_1882.1.2.3,Tada1,,,39,,,,,,
Tursiops.adu_1883.11.20.4,Tadj1,,,,,,,,,
Tursiops.adu_1905.3.15.1,Tadj2,,,,,,,,,
Tursiops.tru_1866.8.7.3,Ttrj5,,,,,,,,,
Tursiops.tru_1884.4.19.1,Ttrf4,,,,,,,,,
Tursiops.tru_1934.47,Ttrj1,,,,,,,,,
Tursiops.tru_1935.4,Ttrj3,,,,,,,,,
Tursiops.tru_1939.20,Ttrj4,,,,,,,,,
Tursiops.tru_1973.100,Ttrj2,,,,,,,,,
Tursiops.tru_1997.541,Ttrf3,,,,,,,,,
Tursiops.tru_2021.4,Ttrf2,,,,,,,,,
Tursiops.tru_2021.5,Ttrf1,,,,,,,,,
Tursiops.tru_SDNHM23798,Ttra1,,,39,,,,,,
