specimen,code,nasal_l,nasal_r,interparietal,condyle_l,condyle_r,palatine_l,palatine_r,vomer
Lagenorhynchus.acu_USNM504196,Laga1,,,57,,,,,
Lagenorhynchus.alb_1847.4.4.2,Lagn1,,,,,,,,
Lagenorhynchus.alb_1966.9.16.1,Lagj1,,,,,,,,
Lagenorhynchus.alb_AMNH37162,Laga2,,,,,,,,
Lagenorhynchus.obl_1937.9.1.1,Lagj2,,,,,,,,
Lagenorhynchus.sp_1997.549,Lagf1,,,,,,,,
Lagenorhynchus.sp_1997.550,Lagf2,,,,,,,,
Megaptera_792a,Ha1,,,57,,,,,
Megaptera_LACM97707,Hj1,,,57,,,,,
Megaptera_SDNHM25557,Hf4,,,,,,,,
Megaptera_USNM260583,Hf6,,,,,,,,
Megaptera_USNM260584,Hf9,,,,,,,,
Megaptera_USNM267635,Hf7,,,,,,,,64
Megaptera_USNM267637,Hf8,,,,,,,,64
Mesoplodon.bid_1938.31,Mesj2,,,57,,,,,
Mesoplodon.bid_1948.5.1.3,Mesf1,,,,,,,,
Mesoplodon.bid_1964.6.3.10,Mesn1,,,,,,,,
Mesoplodon.bid_USNM593438,Mesj1,,,57,,,,,
Mesoplodon.ger_1955.6.7.2,Mesn2,,,,,,,,
Mesoplodon.ger_USNM504256,Mesa2,,,57,,,,,
Mesoplodon.hec_1949.8.19.1,Mesj2,,,57,,,,,
Monodon_1887.9.8.1,Monf3,,,,,,,,
Monodon_1937.10.30.31,Monf1,,,,,,,,
Monodon_USNM241127,Monf2,,,,,,,,
Monodon_USNM267959,Mona2,,,57,,,,,
Monodon_USNM267960,Mona1,,,57,,,,,
Neophocaena_USNM240001,Neoa2,,,,,,,,
Neophocaena_USNM240002,Neoa1,,,,,,,,
Neophocoena_1889.8.6.21,Neof1,,,,,,,,
Neophocoena_1902.6.10.65,Neoj1,,,,,,,,
Neophocoena_1903.9.12.3,Neoj2,,,,,,,,
Neophocoena_1966.12.6.1,Neoj3,,,,,,,,
Orcaella_1883.11.20.2,Orba1,,,,,,,,
Orcaella_1964.2.24.1,Orbj1,,,,,,,,
Orcinus_1886.11.22.1,Orcf1,,,,,,,,
Orcinus_1886.11.22.1a,Orca2,,,57,,,,,
Orcinus_1932.13,Orcj1,,,57,,,,,
Orcinus_USNM11980,Orca1,,,57,,,,,
Peponocephala_1965.6.2.1,Pepn1,,,,,,,,
Peponocephala_1972.2,Pepj1,,,,,,,,
Peponocephala_USNM504510,Pepa2,,,57,,,,,
Peponocephala_USNM504511,Pepa1,,,57,,,,,
Phocoena.diot_1922.11.3.1,Phoj1,,,,,,,,
Phocoena.pho_1865.12.8.43,Phoj2,,,,,,,,
Phocoena.pho_1889.2.14.11,Phof1,,,,,,,,
Phocoena.pho_1939.17,Phon1,,,,,,,,
Phocoena.pho_1943.21,Phoj3,,,,,,,,
Phocoena.pho_1958.11.21.1,Phoa4,,,,,,,,
Phocoena.pho_1958.5.21.1,Phof7,,,,,,,,
Phocoena.pho_1997.558,Phof9,,,,,,,,
Phocoena.pho_2021.2,Phoa3,,,,,,,,
Phocoena.pho_AMNH212161,Phoa1,,,,,,,,
Phocoena.pho_USNM010764,Phof5,,,,,,,,
Phocoena.pho_USNM011127,Phof3,,,,,,,,
Phocoena.pho_USNM243600,Phof6,,,,,,,,
Phocoena.pho_USNM270633,Phof8,,,,,,,,
Phocoena.pho_USNM504982,Phof4,,,,,,,,
Physeter_1952.9.30.2,Phyf3,,15,,,,,,
Physeter_1997.581,Phye3,,15,57,36,40,,,
Physeter_1997.582,Phyf2,,15,,,,,,
Physeter_2007.1,Phya1,,15,57,,,,,
Physeter_2019.14.8,Phye2,,15,57,36,40,,,
Platanista_1874.4.13.4,Plan1,,,57,,,51,46,
Platanista_1895.5.20.2,Plaa1,,,57,,,51,46,
Platanista_334a,Plaj2,,,57,,,51,46,
Platanista_USNM172409,Plaj1,,,57,,,51,46,
Pontoporia_1884.9.12.3,Ponn1,,,57,,,,,
Pontoporia_1909.12.1.73,Ponj1,,,57,,,,,
Pontoporia_USNM482727,Pona2,,,57,,,,,
Pontoporia_USNM482763,Ponj2,,,57,,,,,
Pontoporia_USNM482771,Pona1,,,57,,,,,
Pseudorca_1936.9.1.1,Psen1,,,,,,,,
Pseudorca_1961.6.14.71,Psen2,,,,,,,,
Pseudorca_1961.6.14.94,Psef2,,,,,,,,
Pseudorca_1997.552,Psef1,,,,,,,,
Pseudorca_AMNH99681,Psea2,,,57,,,,,
Pseudorca_USNM11320,Psea1,,,57,,,,,
Sotalia.tux_1856.8.2.2,Sotj1,,,57,,,,,
Sousa.plum_1903.9.12.2,Soun1,,,,,,,,
Sousa.plum_1965.1.6.3,Sounj1,,,,,,,,
Sousa.plum_USNM550939,Souna1,,,57,,,,,
Sousa.plum_USNM550941,Souna2,,,57,,,,,
Stenella.att_1959.12.31.9,Staj2,,,,,,,,
Stenella.att_1966.11.18.5,Staa1,,,57,,,,,
Stenella.att_1990.91,Staj1,,,,,,,,
Stenella.att_1990.92,Stan1,,,,,,,,
Stenella.att_1997.536,Staf1,,,,,,,,
Stenella.att_USNM504008,Staf5,,,,,,,,
Stenella.att_USNM504020,Staf4,,,,,,,,
Stenella.att_USNM504041,Staf2,,,,,,,,
Stenella.att_USNM504048,Staf6,,,,,,,,
Stenella.att_USNM504052,Staf3,,,,,,,,
Stenella.cor_1965.1.6.2,Stcj1,,,57,,,,,
Stenella.lon_1990.105,Stlj1,,,,,,,,
Stenella.lon_1990.115,Stln1,,,,,,,,
Stenella.lon_1990.122,Stlj2,,,,,,,,
Stenella.lon_1992.107,Stln2,,,,,,,,
Stenella.lon_USNM395270,Stla1,,,57,,,,,
Tursiops.adu_1866.2.5.3,Tadj3,,,,,,,,
Tursiops.adu_1882.1.2.3,Tada1,,,57,,,,,
Tursiops.adu_1883.11.20.4,Tadj1,,,,,,,,
Tursiops.adu_1905.3.15.1,Tadj2,,,,,,,,
Tursiops.tru_1866.8.7.3,Ttrj5,,,,,,,,
Tursiops.tru_1884.4.19.1,Ttrf4,,,,,,,,
Tursiops.tru_1934.47,Ttrj1,,,,,,,,
Tursiops.tru_1935.4,Ttrj3,,,,,,,,
Tursiops.tru_1939.20,Ttrj4,,,,,,,,
Tursiops.tru_1973.100,Ttrj2,,,,,,,,
Tursiops.tru_1997.541,Ttrf3,,,,,,,,
Tursiops.tru_2021.4,Ttrf2,,,,,,,,
Tursiops.tru_2021.5,Ttrf1,,,,,,,,
Tursiops.tru_SDNHM23798,Ttra1,,,57,,,,,
